catalogo_id,descripcion,n_organismos,n_items,precio_min,precio_mediana,precio_max,ratio_max_min,ahorro_conservador,gasto
1460472,(1460472) ACEITUNA - AZAPA BOLSA 1K UNIDAD RM,3,4,3753.0,3825.5,4305.0,1.15,10242,188736
1430497,(1430497) CABELLO DE ANGEL PARMA CORTO BOLSA 400 G UNIDAD VIII REGION,4,5,930.0,930.0,990.0,1.06,9100,548500
1436062,(1436062) AZUCAR IANSA BLANCA GRANULADA BOLSA 1K  UNIDAD VIII REGION,4,5,1265.0,1480.0,1615.0,1.28,9045,444485
1460577,(1460577) ACELGA FRESCA - PAQUETE APROX. 1 K UNIDAD RM,3,5,668.0,777.0,800.0,1.2,8970,1121845
1469367,(1469367) NARANJA - THOMSON GRANDE KILO APROX. RM,8,10,1413.0,1560.0,1579.0,1.12,8632,4951612
1437082,(1437082) TE EN HOJA  SUPREMO ESPECIAL BOLSA 250 G UNIDAD VIII REGION,3,4,1799.0,1831.5,1864.0,1.04,8320,570732
1460572,(1460572) ACELGA FRESCA - PAQUETE APROX. 1 K UNIDAD VIII REGION,4,4,676.0,725.0,751.0,1.11,8076,1363710
1465557,(1465557) DIENTE DE DRAGON - BOLSA 500 GR UNIDAD RM,4,5,776.0,800.0,992.0,1.28,7800,239240
1475652,(1475652) ZAPALLO FRESCO PROCESADO - CAMOTE CUBO BOLSA 1 K UNIDAD RM,4,5,1421.0,1421.0,1423.0,1.0,7600,7999304
1461679,(1461679) CEBOLLA FRESCA - CHALOTA KILO APROX. V REGION,3,5,833.0,965.0,1004.0,1.21,7410,324085
1468864,(1468864) MANZANA - FUJI PEQUEÑO KILO APROX. V REGION,3,4,1795.0,1803.0,1811.0,1.01,7152,2839634
1433287,(1433287) AVENA SELECTA INSTANTANEA CAJA 500 G UNIDAD VIII REGION,4,6,1232.0,1232.0,1294.0,1.05,6944,302624
1440682,(1440682) MERMELADA SIN AZUCAR REGIMEL DAMASCO BOLSA 200 G UNIDAD VIII REGION,3,5,1569.0,1569.0,1590.0,1.01,6720,1183470
1461394,(1461394) BETARRAGA FRESCA - PAQUETE APROX. 1 K UNIDAD V REGION,3,4,665.0,675.5,686.0,1.03,5418,443751
