codigo_producto,producto,n_organismos,n_ordenes,n_lineas,gasto_total
42294513,Kits de vitrectomía oftalmológica,6,7,15,13583590
14111530,Notas de papel autoadhesivo,6,7,9,330238
42231802,Fórmulas suplementarias pediátricas,6,7,26,73619300
42142615,Accesorios para jeringas,6,7,7,8945080
42272214,"Válvulas, adaptadores o conectores de circuito",6,7,9,8223775
42161601,Kits o sets de administración de hemodiálisis o accesorios,6,7,13,30845666
51141531,Ácido valproico,6,7,7,3378380
42142608,Jeringas médicas sin agujas,6,6,8,5352000
48101711,Dispensadores de agua embotellada,6,6,7,13963870
46181504,Guantes protectores,6,6,12,1090637
51171806,Metoclopramida,6,6,7,599424
14111610,Cartulina,6,6,14,917886
90101604,Concesionarios de casino de comida,6,6,6,579969704
51211615,Azul de metileno,6,6,6,3699500
51171631,Preparado laxante de polietilenglicol,6,6,6,28878730
51171630,Aceite mineral,6,6,13,9328300
42161507,Soluciones de diálisis peritoneal,5,21,45,15993633
78180101,Reparación y pintura carrocerías,5,15,19,153417684
42294935,"Agujas de punción, revestimientos, obturadores o cánulas para endoscopia, o bandejas de procedimiento, kits o productos relacionados",5,11,13,5702216
42151620,Limas o raspadores dentales,5,10,92,12021322
25101703,Ambulancias,5,9,9,99593800
53102306,Pañales para adultos,5,9,16,145948656
50192601,"Papas, arroz, pastas u otros acompañamientos preparados frescos",5,9,13,1701460
50193104,Bases de sopa,5,9,16,466910
50192902,Pasta o tallarines naturales estables sin refriger,5,9,22,14145418
81111812,Mantenimiento y soporte de hardware,5,9,9,288204908
51141722,Fumarato de quetiapina,5,8,8,1465658
52151502,Platos desechables domésticos,5,8,12,13014004
42311515,Vendajes hidrocoloides,5,8,8,8706216
42272011,Catéteres de succión o sus accesorios,5,7,11,41180210
42281704,Detergentes o limpiadores de instrumentos,5,7,11,8845136
91111603,Servicios de cocina o preparación de comidas,5,7,7,331119821
43211501,Servidores,5,7,7,240197510
42142601,Jeringas médicas de aspiración o irrigación,5,7,15,18686000
42312113,Bolsas de Ostomía,5,7,8,6166738
92101902,Servicios de ambulancia,5,7,10,170643433
